Slide name	Histological Score Nuclei	All Nucleus	Nucleus Negative	Nucleus Positive	Nucleus Low	Nucleus Medium	Nucleus High	Nucleus Low	Nucleus Medium	Nucleus High
V-122-2-730576	4	108	104	4	4	0	0	3.703703704	0	0
V-122-2-730576	0	46	46	0	0	0	0	0	0	0
V-122-3-730565	3	275	269	6	4	2	0	1.454545455	0.727272727	0
V-122-3-730565	1	98	97	1	1	0	0	1.020408163	0	0
V-126-1-730682	4	711	685	26	26	0	0	3.656821378	0	0
V-126-1-730682	2	507	496	11	11	0	0	2.169625247	0	0
V-126-3-730681	8	219	203	16	14	2	0	6.392694064	0.913242009	0
V-126-3-730681	0	21	21	0	0	0	0	0	0	0
V-148-1-730684	6	107	104	3	1	1	1	0.934579439	0.934579439	0.934579439
V-148-1-730684	0	40	40	0	0	0	0	0	0	0
V-148-2-730694	25	247	216	31	13	6	12	5.263157895	2.429149798	4.858299595
V-148-2-730694	8	88	85	3	1	0	2	1.136363636	0	2.272727273
V-148-3-730683	40	87	69	18	7	5	6	8.045977012	5.747126437	6.896551724
V-148-3-730683	6	52	51	1	0	0	1	0	0	1.923076923
V-168-1-730584	15	34	32	2	0	1	1	0	2.941176471	2.941176471
V-168-1-730584	0	7	7	0	0	0	0	0	0	0
V-168-2-730594	5	152	148	4	1	3	0	0.657894737	1.973684211	0
V-168-2-730594	0	75	75	0	0	0	0	0	0	0
V-168-3-730583	17	163	144	19	11	7	1	6.748466258	4.294478528	0.613496933
V-168-3-730583	2	43	42	1	1	0	0	2.325581395	0	0
V-189-1-730524	8	2915	2783	132	60	55	17	2.05831904	1.886792453	0.583190395
V-189-1-730524	0	549	547	2	2	0	0	0.364298725	0	0
V-189-2-730534	14	2926	2691	235	102	82	51	3.485987697	2.802460697	1.742993848
V-189-2-730534	1	484	480	4	1	3	0	0.20661157	0.619834711	0
V-189-3-730523	5	601	578	23	13	10	0	2.163061564	1.663893511	0
V-189-3-730523	0	116	116	0	0	0	0	0	0	0
V-190-1-730724	28	877	735	142	69	46	27	7.867730901	5.245153934	3.078677309
V-190-1-730724	2	212	207	5	5	0	0	2.358490566	0	0
V-190-2-730734	30	1292	1038	254	132	111	11	10.21671827	8.591331269	0.851393189
V-190-2-730734	3	405	398	7	3	4	0	0.740740741	0.987654321	0
V-190-3-730723	26	1565	1295	270	151	103	16	9.6485623	6.581469649	1.022364217
V-190-3-730723	3	478	468	10	8	2	0	1.673640167	0.418410042	0
V-206-3-730543	8	38	35	3	3	0	0	7.894736842	0	0
V-228-1-730564	4	653	640	13	6	4	3	0.918836141	0.612557427	0.45941807
V-228-1-730564	0	108	108	0	0	0	0	0	0	0
V-228-2-730574	0	72	72	0	0	0	0	0	0	0
V-228-2-730574	0	2	2	0	0	0	0	0	0	0
V-228-3-730563	1	862	856	6	2	4	0	0.232018561	0.464037123	0
V-228-3-730563	0	150	150	0	0	0	0	0	0	0
V-240-1-730538	63	1365	832	533	245	247	41	17.94871795	18.0952381	3.003663004
V-240-1-730538	8	237	223	14	10	4	0	4.219409283	1.687763713	0
V-240-2-730548	62	884	548	336	155	148	33	17.53393665	16.74208145	3.733031674
V-240-2-730548	3	167	164	3	1	2	0	0.598802395	1.19760479	0
V-240-3-730537	65	759	463	296	122	153	21	16.07378129	20.15810277	2.766798419
V-240-3-730537	1	108	107	1	1	0	0	0.925925926	0	0
V-241-1-730640	17	2440	2238	202	53	77	72	2.172131148	3.155737705	2.950819672
V-241-1-730640	1	374	372	2	1	0	1	0.267379679	0	0.267379679
V-241-2-730650	20	2346	2102	244	92	81	71	3.921568628	3.452685422	3.026427963
V-241-2-730650	1	330	328	2	2	0	0	0.606060606	0	0
V-241-3-730639	17	1539	1401	138	51	52	35	3.313840156	3.378817414	2.274204029
V-241-3-730639	1	249	247	2	1	1	0	0.401606426	0.401606426	0
V-244-1-730744	0	82	82	0	0	0	0	0	0	0
V-244-1-730744	6	18	17	1	1	0	0	5.555555556	0	0
V-244-2-730754	8	144	135	9	7	2	0	4.861111111	1.388888889	0
V-244-2-730754	0	33	33	0	0	0	0	0	0	0
V-244-3-730743	6	98	93	5	4	1	0	4.081632653	1.020408163	0
V-244-3-730743	13	85	78	7	4	2	1	4.705882353	2.352941177	1.176470588
V-249-1-730702	25	726	635	91	29	36	26	3.994490358	4.958677686	3.581267218
V-249-1-730702	5	444	430	14	8	6	0	1.801801802	1.351351351	0
V-249-2-730712	28	803	695	108	31	35	42	3.860523039	4.358655044	5.230386052
V-249-2-730712	5	256	249	7	4	1	2	1.5625	0.390625	0.78125
V-26-1-730706	0	2060	2058	2	1	1	0	0.048543689	0.048543689	0
V-26-1-730706	0	379	379	0	0	0	0	0	0	0
V-26-2-730716	0	2499	2496	3	3	0	0	0.120048019	0	0
V-26-2-730716	0	556	556	0	0	0	0	0	0	0
V-26-3-730705	0	1937	1933	4	4	0	0	0.206504904	0	0
V-26-3-730705	0	629	629	0	0	0	0	0	0	0
V-271-1-730522	2	585	575	10	10	0	0	1.709401709	0	0
V-271-1-730522	1	150	149	1	1	0	0	0.666666667	0	0
V-271-2-730532	2	368	359	9	9	0	0	2.445652174	0	0
V-271-2-730532	1	85	84	1	1	0	0	1.176470588	0	0
V-271-3-730521	4	447	431	16	13	3	0	2.908277405	0.67114094	0
V-271-3-730521	0	85	85	0	0	0	0	0	0	0
V-28-1-730646	8	294	278	16	9	7	0	3.06122449	2.380952381	0
V-28-1-730646	2	301	299	2	0	1	1	0	0.332225914	0.332225914
V-28-2-730656	7	335	318	17	12	3	2	3.582089552	0.895522388	0.597014925
V-28-2-730656	3	453	444	9	6	3	0	1.324503311	0.662251656	0
V-28-3-730645	10	438	413	25	12	8	5	2.739726027	1.826484018	1.141552511
V-28-3-730645	1	374	372	2	0	1	1	0	0.267379679	0.267379679
V-282-1-730542	6	47	45	2	1	1	0	2.127659575	2.127659575	0
V-282-1-730542	0	11	11	0	0	0	0	0	0	0
V-295-1-730722	76	1515	923	592	199	221	172	13.13531353	14.58745875	11.35313531
V-295-1-730722	11	214	199	15	7	7	1	3.271028037	3.271028037	0.46728972
V-295-2-730732	56	511	358	153	54	64	35	10.56751468	12.52446184	6.849315069
V-295-2-730732	10	83	79	4	1	2	1	1.204819277	2.409638554	1.204819277
V-295-3-730721	47	555	417	138	52	49	37	9.369369369	8.828828829	6.666666667
V-295-3-730721	7	166	159	7	4	1	2	2.409638554	0.602409639	1.204819277
V-301-1-730742	3	1741	1708	33	18	7	8	1.03388857	0.402067777	0.459506031
V-301-1-730742	2	203	199	4	4	0	0	1.97044335	0	0
V-301-2-730752	5	2933	2859	74	25	22	27	0.852369587	0.750085237	0.920559154
V-301-2-730752	1	651	648	3	1	2	0	0.153609831	0.307219662	0
V-301-3-730741	2	3129	3097	32	17	10	5	0.54330457	0.319590924	0.159795462
V-301-3-730741	1	1186	1181	5	3	1	1	0.252951096	0.084317032	0.084317032
V-321-1-730660	22	1898	1657	241	90	127	24	4.741833509	6.691253952	1.264488936
V-321-1-730660	3	600	589	11	6	5	0	1	0.833333333	0
V-321-2-730670	29	1745	1448	297	123	142	32	7.048710602	8.137535817	1.833810888
V-321-2-730670	3	713	699	14	8	6	0	1.122019635	0.841514727	0
V-321-3-730659	52	1848	1353	495	155	209	131	8.387445887	11.30952381	7.088744589
V-321-3-730659	5	786	762	24	14	7	3	1.781170484	0.890585242	0.381679389
V-341-1-730604	14	1166	1068	98	48	36	14	4.116638079	3.087478559	1.200686106
V-341-1-730604	3	480	471	9	4	3	2	0.833333333	0.625	0.416666667
V-341-2-730614	17	1911	1724	187	83	63	41	4.343275772	3.296703297	2.145473574
V-341-2-730614	4	836	815	21	10	9	2	1.196172249	1.076555024	0.23923445
V-341-3-730603	20	1331	1191	140	52	56	32	3.906836965	4.207362885	2.404207363
V-341-3-730603	7	477	456	21	11	8	2	2.306079665	1.677148847	0.419287212
V-342-1-730562	5	2014	1910	104	100	2	2	4.965243297	0.099304866	0.099304866
V-342-1-730562	1	748	743	5	5	0	0	0.668449198	0	0
V-342-2-730572	18	1820	1521	299	270	26	3	14.83516484	1.428571429	0.164835165
V-342-2-730572	1	342	337	5	5	0	0	1.461988304	0	0
V-342-3-730561	15	1633	1404	229	211	16	2	12.92100429	0.979791794	0.122473974
V-342-3-730561	4	723	694	29	28	1	0	3.872752421	0.138312586	0
V-346-1-730680	0	26	26	0	0	0	0	0	0	0
V-346-3-730679	0	37	37	0	0	0	0	0	0	0
V-347-1-730638	3	1441	1406	35	22	12	1	1.526717557	0.832755031	0.069396253
V-347-1-730638	1	184	183	1	1	0	0	0.543478261	0	0
V-347-2-730648	11	1443	1354	89	37	31	21	2.564102564	2.148302148	1.455301455
V-347-2-730648	4	110	108	2	1	0	1	0.909090909	0	0.909090909
V-347-3-730637	21	1492	1326	166	69	52	45	4.624664879	3.485254692	3.016085791
V-347-3-730637	2	161	158	3	2	1	0	1.242236025	0.621118012	0
V-353-1-730700	1	640	635	5	4	1	0	0.625	0.15625	0
V-353-1-730700	0	534	532	2	2	0	0	0.374531835	0	0
V-353-2-730710	0	928	926	2	2	0	0	0.215517241	0	0
V-353-2-730710	0	792	791	1	1	0	0	0.126262626	0	0
V-353-3-730699	2	97	96	1	0	1	0	0	1.030927835	0
V-353-3-730699	0	63	63	0	0	0	0	0	0	0
V-36-1-730726	5	1682	1595	87	85	2	0	5.053507729	0.118906064	0
V-36-1-730726	1	69	68	1	1	0	0	1.449275362	0	0
V-36-2-730736	8	1874	1733	141	135	5	1	7.203842049	0.266808965	0.053361793
V-36-2-730736	1	278	276	2	1	1	0	0.35971223	0.35971223	0
V-36-3-730725	7	1898	1776	122	110	11	1	5.795574289	0.579557429	0.052687039
V-36-3-730725	2	65	64	1	1	0	0	1.538461539	0	0
V-382-1-730624	49	538	315	223	192	19	12	35.68773234	3.531598513	2.230483271
V-382-1-730624	4	56	54	2	2	0	0	3.571428571	0	0
V-382-2-730634	47	2297	1392	905	787	72	46	34.26208098	3.134523291	2.002612103
V-382-2-730634	4	203	195	8	7	1	0	3.448275862	0.492610837	0
