Slide name	ROI name	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High
I-106-1	Tumor	762	0	0	0
I-106-1	Stroma	505	0	0	0
I-106-3	Tumor	609	0	3	2
I-106-3	Stroma	323	0	0	0
I-114-1	Tumor	2240	0	31	69
I-114-1	Stroma	39	0	0	0
I-114-2	Tumor	3787	2	31	78
I-114-3	Tumor	646	0	3	11
I-114-3	Stroma	138	0	0	0
I-118-1	Tumor	1345	0	8	43
I-118-1	Stroma	614	0	1	9
I-118-2	Tumor	1183	0	6	25
I-118-2	Stroma	299	0	0	3
I-118-3	Tumor	997	0	4	37
I-118-3	Stroma	653	0	1	2
I-120-1	Tumor	672	0	38	193
I-120-1	Stroma	1136	0	2	9
I-120-2	Tumor	1431	1	38	717
I-120-2	Stroma	54	0	1	6
I-120-3	Tumor	727	0	14	163
I-120-3	Stroma	205	0	2	22
I-139-1	Tumor	93	0	1	1
I-139-1	Stroma	115	0	1	0
I-139-2	Tumor	255	0	1	0
I-139-2	Stroma	601	1	1	0
I-139-3	Tumor	17	0	0	0
I-139-3	Stroma	104	0	0	0
I-142-1	Stroma	154	0	0	0
I-142-2	Tumor	1020	0	34	28
I-142-2	Stroma	197	0	0	0
I-142-3	Stroma	303	0	2	1
I-16-1	Tumor	1711	0	21	68
I-16-1	Stroma	337	1	4	3
I-16-2	Tumor	2492	0	35	104
I-16-2	Stroma	420	0	0	0
I-179-1	Tumor	1374	1	8	33
I-179-1	Stroma	305	0	0	1
I-179-2	Tumor	1978	2	61	238
I-179-2	Stroma	59	0	0	2
I-179-3	Tumor	1202	0	19	61
I-179-3	Stroma	582	0	1	0
I-180-1	Tumor	411	0	1	12
I-180-1	Stroma	247	0	0	1
I-180-2	Stroma	111	0	0	1
I-181-1	Tumor	1257	0	59	173
I-181-1	Stroma	495	1	0	0
I-181-2	Tumor	764	0	35	118
I-181-2	Stroma	1204	1	1	3
I-181-3	Tumor	136	0	3	7
I-181-3	Stroma	533	2	3	4
I-185-1	Tumor	1604	1	7	9
I-185-1	Stroma	321	0	1	0
I-185-2	Tumor	152	0	1	5
I-185-2	Stroma	171	0	0	0
I-20-1	Tumor	44	0	0	4
I-20-1	Stroma	551	0	2	8
I-20-2	Stroma	93	0	0	0
I-20-3	Stroma	32	0	0	0
I-207-2	Tumor	210	0	3	12
I-207-2	Stroma	370	0	2	1
I-207-3	Tumor	23	0	0	0
I-207-3	Stroma	82	0	0	1
I-217-1	Tumor	1679	0	36	74
I-217-1	Stroma	1	0	0	0
I-217-2	Tumor	1320	3	13	55
I-217-2	Stroma	996	0	8	16
I-217-3	Tumor	940	0	20	74
I-217-3	Stroma	1048	2	6	31
I-233-1	Tumor	448	0	3	12
I-233-1	Stroma	789	0	5	11
I-233-2	Tumor	710	0	8	16
I-233-2	Stroma	542	0	1	4
I-233-3	Tumor	738	0	28	37
I-233-3	Stroma	513	0	1	2
I-256-1	Tumor	1694	0	0	2
I-256-1	Stroma	179	0	0	0
I-256-2	Tumor	1431	0	1	0
I-256-2	Stroma	119	0	0	0
I-256-3	Tumor	1307	0	0	1
I-256-3	Stroma	322	0	1	0
I-272-1	Tumor	958	0	4	14
I-272-1	Stroma	450	1	0	1
I-272-2	Tumor	485	0	0	6
I-272-2	Stroma	127	0	0	0
I-272-3	Tumor	222	0	0	2
I-272-3	Stroma	398	0	1	4
I-284-1	Tumor	626	1	11	19
I-284-1	Stroma	178	0	0	1
I-284-2	Tumor	1186	0	33	41
I-284-2	Stroma	206	0	0	2
I-284-3	Tumor	1306	1	86	62
I-284-3	Stroma	351	0	5	7
I-291-1	Tumor	1270	0	7	2
I-291-1	Stroma	769	0	0	0
I-291-2	Tumor	1657	0	10	4
I-291-2	Stroma	361	0	0	0
I-291-3	Tumor	1867	0	23	24
I-291-3	Stroma	203	0	0	0
I-318-1	Tumor	1083	0	21	124
I-318-1	Stroma	477	0	4	8
I-318-2	Tumor	840	0	22	141
I-318-2	Stroma	539	1	2	13
I-318-3	Tumor	1142	0	31	248
I-318-3	Stroma	153	0	1	0
I-334-1	Tumor	191	0	3	11
I-334-1	Stroma	467	0	1	1
I-334-2	Tumor	1598	0	17	119
I-334-2	Stroma	345	0	1	5
I-343-1	Tumor	723	0	26	31
I-343-1	Stroma	227	0	0	6
I-343-2	Tumor	657	0	9	11
I-343-2	Stroma	262	0	2	1
I-343-3	Tumor	221	0	9	14
I-343-3	Stroma	696	1	4	11
I-351-1	Tumor	513	0	21	13
I-351-1	Stroma	1094	1	1	5
I-351-2	Tumor	391	0	11	9
I-351-2	Stroma	819	0	0	3
I-351-3	Tumor	770	1	18	11
I-351-3	Stroma	623	0	0	1
I-368-1	Tumor	571	2	22	40
I-368-1	Stroma	106	0	4	1
I-368-2	Tumor	654	0	21	119
I-368-2	Stroma	204	0	1	5
I-368-3	Tumor	612	0	23	32
I-368-3	Stroma	174	0	3	2
I-37-1	Tumor	1585	0	2	8
I-37-1	Stroma	310	0	1	0
I-37-2	Tumor	1890	0	4	2
I-37-3	Tumor	884	0	3	3
I-37-3	Stroma	22	0	0	0
I-381-1	Tumor	2366	0	16	133
I-381-1	Stroma	242	0	1	4
I-381-2	Tumor	917	1	21	163
I-381-2	Stroma	737	0	4	29
I-381-3	Tumor	2065	0	30	235
I-381-3	Stroma	288	0	0	3
I-392-1	Tumor	1042	0	1	4
I-392-1	Stroma	308	0	0	1
I-392-2	Tumor	510	0	4	26
I-392-2	Stroma	662	4	6	7
I-392-3	Tumor	56	0	0	1
I-392-3	Stroma	74	0	0	0
I-403-1	Tumor	1194	0	5	18
I-403-1	Stroma	684	0	2	5
I-403-2	Tumor	740	1	6	18
I-403-2	Stroma	510	0	1	3
I-403-3	Tumor	629	1	5	38
I-403-3	Stroma	303	0	0	2
I-418-1	Tumor	65	0	1	0
I-418-1	Stroma	28	0	0	0
I-418-2	Tumor	664	0	12	62
I-418-3	Tumor	569	0	9	72
I-418-3	Stroma	19	0	0	0
I-448-1	Stroma	459	0	0	1
I-448-2	Tumor	1330	1	16	41
I-448-2	Stroma	544	1	5	6
I-482-1	Tumor	957	0	23	121
I-482-1	Stroma	482	0	2	8
I-482-2	Tumor	1101	0	24	50
I-482-2	Stroma	271	0	2	3
I-482-3	Tumor	133	0	1	2
I-482-3	Stroma	157	0	0	2
I-517-1	Tumor	761	0	10	31
I-517-1	Stroma	557	0	0	3
I-517-2	Tumor	953	0	14	22
I-517-2	Stroma	644	0	7	5
I-517-3	Tumor	1918	0	17	91
I-517-3	Stroma	16	0	0	1
I-525-2	Tumor	524	0	7	21
I-525-2	Stroma	48	0	0	0
I-525-3	Tumor	91	0	1	5
I-525-3	Stroma	31	0	0	0
I-55-1	Tumor	862	0	2	1
I-55-1	Stroma	53	0	0	0
I-55-2	Tumor	896	0	0	0
I-55-2	Stroma	680	0	0	0
I-55-3	Tumor	1670	0	1	0
I-55-3	Stroma	44	0	0	0
I-56-1	Tumor	1751	0	0	1
I-56-1	Stroma	13	0	0	0
I-56-2	Tumor	1572	0	0	0
I-56-2	Stroma	181	0	0	0
I-56-3	Tumor	1555	0	0	0
I-56-3	Stroma	93	0	0	0
I-563-1	Tumor	1224	0	19	14
I-563-1	Stroma	244	0	0	2
I-563-2	Tumor	1002	0	1	2
I-563-2	Stroma	319	0	0	0
I-563-3	Tumor	533	0	1	0
I-563-3	Stroma	190	0	0	0
I-57-1	Tumor	1993	0	61	124
I-57-1	Stroma	26	0	1	0
I-581-1	Tumor	895	0	0	2
I-581-1	Stroma	285	0	0	0
I-581-2	Tumor	559	0	3	2
I-581-2	Stroma	371	0	0	0
I-581-3	Tumor	616	0	1	3
I-581-3	Stroma	396	0	0	0
I-584-1	Tumor	975	1	6	22
I-584-1	Stroma	480	0	0	3
I-584-2	Tumor	643	1	4	19
I-584-2	Stroma	713	1	1	3
I-584-3	Tumor	732	4	13	56
I-584-3	Stroma	911	0	3	6
I-596-1	Tumor	1194	0	2	0
I-596-2	Tumor	1143	0	3	1
I-596-2	Stroma	397	0	0	0
I-596-3	Tumor	86	0	0	1
I-596-3	Stroma	13	0	0	0
I-600-1	Tumor	1209	0	22	47
I-600-1	Stroma	185	0	0	0
I-600-2	Tumor	740	0	9	31
I-600-2	Stroma	233	0	0	1
I-600-3	Tumor	925	0	19	37
I-600-3	Stroma	360	0	2	2
I-627-1	Stroma	176	0	0	0
I-627-2	Tumor	253	0	1	5
I-627-2	Stroma	324	0	0	0
I-627-3	Stroma	80	0	0	0
I-638-1	Tumor	285	0	0	39
I-638-1	Stroma	145	0	0	1
I-638-2	Tumor	1104	0	28	153
I-638-2	Stroma	501	0	5	4
I-638-3	Tumor	1255	5	9	77
I-638-3	Stroma	649	0	1	2
I-664-1	Stroma	92	0	0	2
I-664-2	Tumor	245	1	5	13
I-664-2	Stroma	1167	0	3	5
I-664-3	Tumor	525	1	11	10
I-664-3	Stroma	192	0	1	1
I-75-1	Tumor	2119	1	10	71
I-75-1	Stroma	620	0	2	5
