Slide name	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High	ROI name
III-117-1	798	1	93	3	Tumor
III-117-2	912	0	186	7	Tumor
III-117-3	628	0	75	1	Tumor
III-145-1	84	0	4	8	Tumor
III-145-2	217	2	21	12	Tumor
III-156-1	408	1	29	7	Tumor
III-156-2	303	0	58	23	Tumor
III-157-1	404	1	26	8	Tumor
III-157-2	886	1	18	16	Tumor
III-157-3	1035	10	44	11	Tumor
III-165-1	1591	21	345	30	Tumor
III-165-2	1224	8	276	22	Tumor
III-165-3	540	10	155	9	Tumor
III-177-1	415	1	14	0	Tumor
III-177-2	264	1	8	0	Tumor
III-177-3	356	2	12	0	Tumor
III-196-1	497	5	206	12	Tumor
III-196-2	475	1	254	16	Tumor
III-196-3	38	0	18	1	Tumor
III-224-1	261	1	6	7	Tumor
III-224-2	361	1	11	2	Tumor
III-224-3	82	1	1	1	Tumor
III-225-1	537	0	1	0	Tumor
III-225-2	216	0	4	0	Tumor
III-225-3	429	4	9	0	Tumor
III-235-2	419	0	75	93	Tumor
III-235-3	971	1	175	243	Tumor
III-245-1	937	6	258	95	Tumor
III-245-2	1353	2	426	128	Tumor
III-265-1	392	3	33	18	Tumor
III-265-3	568	2	56	48	Tumor
III-266-1	1528	3	42	0	Tumor
III-266-2	1086	3	15	0	Tumor
III-266-3	1615	2	15	0	Tumor
III-276-2	177	2	9	3	Tumor
III-3-3	53	0	1	0	Tumor
III-303-1	77	1	18	4	Tumor
III-303-2	1683	7	164	73	Tumor
III-303-3	1164	6	77	28	Tumor
III-330-1	1854	19	107	9	Tumor
III-39-1	101	0	7	14	Tumor
III-39-2	154	2	17	21	Tumor
III-39-3	142	1	15	27	Tumor
III-391-2	712	0	10	2	Tumor
III-391-3	773	0	36	23	Tumor
III-40-1	264	1	42	1	Tumor
III-40-2	783	8	245	22	Tumor
III-40-3	399	2	103	17	Tumor
III-402-1	466	0	20	3	Tumor
III-402-2	182	0	17	0	Tumor
III-404-1	511	0	75	56	Tumor
III-404-2	154	1	16	24	Tumor
III-404-3	324	2	29	27	Tumor
III-407-1	1276	5	96	53	Tumor
III-407-2	1130	6	69	60	Tumor
III-407-3	713	0	22	25	Tumor
III-419-1	220	0	26	36	Tumor
III-419-2	264	1	24	21	Tumor
III-419-3	840	1	71	67	Tumor
III-420-1	32	0	4	2	Tumor
III-420-2	370	3	44	15	Tumor
III-420-3	131	0	6	1	Tumor
III-430-1	1308	1	47	37	Tumor
III-430-2	447	2	0	1	Tumor
III-436-2	80	1	15	11	Tumor
III-441-1	717	2	103	50	Tumor
III-441-2	204	0	16	3	Tumor
III-441-3	810	8	95	9	Tumor
III-447-1	367	2	92	54	Tumor
III-447-3	157	0	83	29	Tumor
III-455-1	1027	5	297	60	Tumor
III-455-2	296	2	72	10	Tumor
III-455-3	462	4	84	8	Tumor
III-459-1	850	2	24	6	Tumor
III-459-3	395	0	6	1	Tumor
III-462-1	161	0	3	3	Tumor
III-462-3	238	0	22	6	Tumor
III-469-1	1530	5	140	78	Tumor
III-469-2	523	1	80	15	Tumor
III-469-3	797	6	145	23	Tumor
III-476-1	979	5	299	1	Tumor
III-476-2	714	6	119	3	Tumor
III-476-3	748	6	204	4	Tumor
III-49-1	552	2	113	106	Tumor
III-49-2	394	1	90	85	Tumor
III-49-3	806	0	140	114	Tumor
III-540-1	571	0	146	50	Tumor
III-540-2	778	0	143	73	Tumor
III-540-3	596	1	134	37	Tumor
III-543-1	957	2	77	49	Tumor
III-543-2	1035	4	58	6	Tumor
III-543-3	1313	6	147	49	Tumor
III-556-1	547	0	13	3	Tumor
III-556-2	1052	3	23	11	Tumor
III-556-3	468	0	12	4	Tumor
III-557-1	1145	5	74	52	Tumor
III-557-2	981	10	67	61	Tumor
III-565-1	200	0	49	15	Tumor
III-565-2	500	2	33	17	Tumor
III-565-3	33	0	4	3	Tumor
III-598-1	716	2	23	0	Tumor
III-598-2	460	0	15	2	Tumor
III-598-3	1618	9	55	0	Tumor
III-614-1	999	2	62	6	Tumor
III-614-2	245	0	14	0	Tumor
III-614-3	856	2	70	7	Tumor
III-62-1	1984	12	734	245	Tumor
III-62-2	1818	18	660	172	Tumor
III-62-3	131	2	38	6	Tumor
III-66-1	434	5	74	51	Tumor
III-66-2	342	2	44	56	Tumor
III-66-3	1098	13	144	88	Tumor
III-676-1	401	1	60	17	Tumor
III-676-2	780	3	72	0	Tumor
III-676-3	258	2	21	12	Tumor
III-678-1	318	3	36	11	Tumor
III-678-2	352	1	52	0	Tumor
III-678-3	422	0	58	16	Tumor
III-694-1	1574	7	619	387	Tumor
III-694-2	231	5	58	40	Tumor
III-694-3	0	0	0	0	Tumor
III-72-1	1461	5	375	76	Tumor
III-72-2	992	9	256	53	Tumor
III-72-3	1225	14	304	155	Tumor
III-78-3	38	0	12	5	Tumor
III-84-1	793	5	55	3	Tumor
III-84-2	1531	3	104	4	Tumor
