Slide name,ROI name,All Nucleus,Nucleus Low,Nucleus Medium,Nucleus High
I-106-1,Tumor,766,0,5,0
I-106-3,Tumor,613,0,21,1
I-114-1,Tumor,867,0,95,22
I-114-2,Tumor,681,1,109,26
I-118-1,Tumor,1365,2,52,40
I-118-2,Tumor,1205,3,42,23
I-118-3,Tumor,1014,0,44,36
I-120-1,Tumor,525,1,171,159
I-120-2,Tumor,1696,0,424,693
I-120-3,Tumor,819,1,145,166
I-139-1,Tumor,94,0,2,1
I-139-2,Tumor,258,2,8,0
I-139-3,Tumor,18,0,3,0
I-142-2,Tumor,446,1,141,21
I-16-1,Tumor,1761,2,131,72
I-16-2,Tumor,2559,2,166,99
I-179-1,Tumor,1386,1,70,32
I-179-2,Tumor,2140,5,403,229
I-179-3,Tumor,1247,2,113,49
I-180-1,Tumor,421,1,21,10
I-181-1,Tumor,1377,8,301,179
I-181-2,Tumor,815,4,189,120
I-181-3,Tumor,143,1,26,7
I-185-1,Tumor,1626,4,43,8
I-185-2,Tumor,154,0,12,5
I-20-1,Tumor,79,0,6,10
I-207-2,Tumor,212,0,10,12
I-207-3,Tumor,24,0,2,0
I-217-1,Tumor,1748,3,161,72
I-217-2,Tumor,1099,1,89,49
I-217-3,Tumor,972,1,106,63
I-233-1,Tumor,465,3,35,10
I-233-2,Tumor,728,3,41,15
I-233-3,Tumor,784,0,115,35
I-256-1,Tumor,1703,9,15,3
I-256-2,Tumor,1458,6,37,0
I-256-3,Tumor,1333,5,28,1
I-272-1,Tumor,964,1,16,12
I-272-2,Tumor,485,2,4,6
I-272-3,Tumor,244,1,4,4
I-284-1,Tumor,656,4,114,19
I-284-2,Tumor,1342,5,462,52
I-284-3,Tumor,1236,3,436,73
I-291-1,Tumor,1314,5,124,2
I-291-2,Tumor,1716,2,116,5
I-291-3,Tumor,1944,5,256,26
I-318-1,Tumor,1148,1,152,109
I-318-2,Tumor,909,2,140,138
I-318-3,Tumor,1244,1,193,236
I-334-1,Tumor,197,0,16,11
I-334-2,Tumor,1652,0,143,109
I-343-1,Tumor,815,3,223,28
I-343-2,Tumor,716,4,126,6
I-343-3,Tumor,263,1,78,11
I-351-1,Tumor,520,4,70,17
I-351-2,Tumor,417,1,64,11
I-351-3,Tumor,819,4,186,17
I-368-1,Tumor,617,4,113,43
I-368-2,Tumor,696,0,127,115
I-368-3,Tumor,678,1,119,34
I-37-1,Tumor,1598,0,34,7
I-37-2,Tumor,1911,1,44,3
I-37-3,Tumor,888,0,28,1
I-381-1,Tumor,502,0,56,79
I-381-2,Tumor,987,0,134,166
I-381-3,Tumor,2014,4,219,216
I-392-1,Tumor,975,0,13,3
I-392-2,Tumor,511,1,23,22
I-392-3,Tumor,56,0,0,1
I-403-1,Tumor,1205,1,29,14
I-403-2,Tumor,754,1,18,20
I-403-3,Tumor,615,1,39,36
I-418-1,Tumor,66,1,1,0
I-418-2,Tumor,706,1,115,57
I-418-3,Tumor,589,2,121,65
I-448-2,Tumor,1364,5,120,40
I-482-1,Tumor,1006,1,116,119
I-482-2,Tumor,1144,2,94,52
I-482-3,Tumor,139,0,12,2
I-517-1,Tumor,794,0,61,24
I-517-2,Tumor,968,0,49,21
I-517-3,Tumor,1981,0,106,86
I-525-2,Tumor,49,1,5,1
I-525-3,Tumor,95,2,2,5
I-55-1,Tumor,855,3,18,0
I-55-2,Tumor,899,1,9,0
I-55-3,Tumor,1670,7,19,0
I-56-1,Tumor,1765,4,36,0
I-56-2,Tumor,1585,0,22,0
I-56-3,Tumor,1572,3,31,0
I-563-1,Tumor,1263,4,101,11
I-563-2,Tumor,1018,7,72,1
I-563-3,Tumor,564,3,55,0
I-57-1,Tumor,1793,3,180,113
I-581-1,Tumor,897,1,15,2
I-581-2,Tumor,513,0,24,1
I-581-3,Tumor,626,5,38,2
I-584-3,Tumor,557,5,92,45
I-596-1,Tumor,1045,2,44,1
I-596-2,Tumor,1148,2,47,0
I-596-3,Tumor,86,0,0,1
I-600-1,Tumor,1249,1,85,41
I-600-2,Tumor,767,0,59,28
I-600-3,Tumor,947,0,68,33
I-627-2,Tumor,264,1,18,3
I-638-1,Tumor,289,1,31,34
I-638-2,Tumor,1151,2,148,156
I-638-3,Tumor,1210,3,86,76
I-664-2,Tumor,256,0,26,10
I-664-3,Tumor,555,0,51,9
I-75-1,Tumor,2204,6,190,61
I-75-2,Tumor,2540,3,188,114
I-75-3,Tumor,1780,5,104,78
I-77-1,Tumor,1574,7,137,118
I-77-2,Tumor,438,0,28,30
I-82-2,Tumor,152,0,9,1
I-82-3,Tumor,282,0,28,0
