Well	Sample Name	Detector Name	Reporter	Task	Ct
225	119B	B2m	SYBR	Unknown	28.8159
226	119B	B2m	SYBR	Unknown	28.007864
227	119B	B2m	SYBR	Unknown	28.123043
229	121B	B2m	SYBR	Unknown	29.613787
230	121B	B2m	SYBR	Unknown	27.948833
231	121B	B2m	SYBR	Unknown	28.708914
233	124B	B2m	SYBR	Unknown	29.336311
234	124B	B2m	SYBR	Unknown	28.446373
235	124B	B2m	SYBR	Unknown	28.168882
369	14B	B2m	SYBR	Unknown	25.498579
370	14B	B2m	SYBR	Unknown	27.969393
371	14B	B2m	SYBR	Unknown	27.022802
373	15B	B2m	SYBR	Unknown	27.492691
374	15B	B2m	SYBR	Unknown	29.022318
375	15B	B2m	SYBR	Unknown	31.828989
377	18B	B2m	SYBR	Unknown	28.515547
378	18B	B2m	SYBR	Unknown	27.974665
379	18B	B2m	SYBR	Unknown	27.729795
381	18B1	B2m	SYBR	Unknown	26.698114
382	18B1	B2m	SYBR	Unknown	26.683374
383	18B1	B2m	SYBR	Unknown	26.531158
361	1B	B2m	SYBR	Unknown	27.619104
362	1B	B2m	SYBR	Unknown	28.130682
363	1B	B2m	SYBR	Unknown	28.521599
341	20B	B2m	SYBR	Unknown	27.220795
342	20B	B2m	SYBR	Unknown	27.355316
343	20B	B2m	SYBR	Unknown	26.788477
337	20B1	B2m	SYBR	Unknown	28.817581
338	20B1	B2m	SYBR	Unknown	27.262041
339	20B1	B2m	SYBR	Unknown	27.703592
345	22B	B2m	SYBR	Unknown	27.189177
346	22B	B2m	SYBR	Unknown	27.56996
347	22B	B2m	SYBR	Unknown	26.994205
349	27B	B2m	SYBR	Unknown	26.478949
350	27B	B2m	SYBR	Unknown	25.967106
351	27B	B2m	SYBR	Unknown	26.120754
353	30B	B2m	SYBR	Unknown	27.465294
354	30B	B2m	SYBR	Unknown	28.183853
355	30B	B2m	SYBR	Unknown	22.818989
357	31B	B2m	SYBR	Unknown	28.517862
358	31B	B2m	SYBR	Unknown	28.053614
359	31B	B2m	SYBR	Unknown	28.11718
313	33B	B2m	SYBR	Unknown	29.293
314	33B	B2m	SYBR	Unknown	28.562862
315	33B	B2m	SYBR	Unknown	28.849258
317	35B1	B2m	SYBR	Unknown	27.144499
318	35B1	B2m	SYBR	Unknown	27.354061
319	35B1	B2m	SYBR	Unknown	27.52757
325	37B	B2m	SYBR	Unknown	26.778303
326	37B	B2m	SYBR	Unknown	27.820824
327	37B	B2m	SYBR	Unknown	27.239017
321	37B1	B2m	SYBR	Unknown	28.39747
322	37B1	B2m	SYBR	Unknown	25.642927
323	37B1	B2m	SYBR	Unknown	28.701916
329	38B	B2m	SYBR	Unknown	28.83167
330	38B	B2m	SYBR	Unknown	27.634312
331	38B	B2m	SYBR	Unknown	27.716415
333	39B	B2m	SYBR	Unknown	26.837288
334	39B	B2m	SYBR	Unknown	25.545383
335	39B	B2m	SYBR	Unknown	26.596905
289	40B1	B2m	SYBR	Unknown	33.260628
290	40B1	B2m	SYBR	Unknown	30.60465
291	40B1	B2m	SYBR	Unknown	31.379692
293	40B2	B2m	SYBR	Unknown	31.441988
294	40B2	B2m	SYBR	Unknown	30.887695
295	40B2	B2m	SYBR	Unknown	31.301954
297	41B	B2m	SYBR	Unknown	28.234314
298	41B	B2m	SYBR	Unknown	27.8393
299	41B	B2m	SYBR	Unknown	28.57686
301	41B1	B2m	SYBR	Unknown	31.60903
302	41B1	B2m	SYBR	Unknown	31.038273
303	41B1	B2m	SYBR	Unknown	30.52702
309	42B	B2m	SYBR	Unknown	25.967068
310	42B	B2m	SYBR	Unknown	25.36325
311	42B	B2m	SYBR	Unknown	26.551113
305	42B1	B2m	SYBR	Unknown	29.27964
306	42B1	B2m	SYBR	Unknown	28.77963
307	42B1	B2m	SYBR	Unknown	29.088482
265	44B2	B2m	SYBR	Unknown	29.169123
266	44B2	B2m	SYBR	Unknown	29.60326
267	44B2	B2m	SYBR	Unknown	29.499699
269	63B	B2m	SYBR	Unknown	29.459023
270	63B	B2m	SYBR	Unknown	27.586857
271	63B	B2m	SYBR	Unknown	29.360407
273	64B	B2m	SYBR	Unknown	29.320372
274	64B	B2m	SYBR	Unknown	28.355907
275	64B	B2m	SYBR	Unknown	29.26717
277	67B	B2m	SYBR	Unknown	27.139112
278	67B	B2m	SYBR	Unknown	28.952099
279	67B	B2m	SYBR	Unknown	28.438995
117	68B	B2m	SYBR	Unknown	28.363932
118	68B	B2m	SYBR	Unknown	28.864658
119	68B	B2m	SYBR	Unknown	28.191517
281	71B	B2m	SYBR	Unknown	29.033195
282	71B	B2m	SYBR	Unknown	29.12452
283	71B	B2m	SYBR	Unknown	29.53099
241	72B	B2m	SYBR	Unknown	29.954973
242	72B	B2m	SYBR	Unknown	30.469934
243	72B	B2m	SYBR	Unknown	30.711897
245	74B	B2m	SYBR	Unknown	26.786425
246	74B	B2m	SYBR	Unknown	27.740349
247	74B	B2m	SYBR	Unknown	26.414085
249	75B	B2m	SYBR	Unknown	28.238037
250	75B	B2m	SYBR	Unknown	29.305592
251	75B	B2m	SYBR	Unknown	29.473265
257	76B	B2m	SYBR	Unknown	30.462946
258	76B	B2m	SYBR	Unknown	29.65522
259	76B	B2m	SYBR	Unknown	31.192385
365	7B	B2m	SYBR	Unknown	30.5506
366	7B	B2m	SYBR	Unknown	28.61889
367	7B	B2m	SYBR	Unknown	29.148636
261	81B	B2m	SYBR	Unknown	29.082096
262	81B	B2m	SYBR	Unknown	28.411713
263	81B	B2m	SYBR	Unknown	29.572365
253	82B	B2m	SYBR	Unknown	29.40824
254	82B	B2m	SYBR	Unknown	30.30519
255	82B	B2m	SYBR	Unknown	28.924366
221	84B	B2m	SYBR	Unknown	26.258625
222	84B	B2m	SYBR	Unknown	25.460897
223	84B	B2m	SYBR	Unknown	24.954203
217	84B1	B2m	SYBR	Unknown	25.37516
218	84B1	B2m	SYBR	Unknown	27.417442
219	84B1	B2m	SYBR	Unknown	25.683302
237	N1 SCOMP	B2m	SYBR	Unknown	27.82611
238	N1 SCOMP	B2m	SYBR	Unknown	27.699572
239	N1 SCOMP	B2m	SYBR	Unknown	27.615568
193	N34 WGA	B2m	SYBR	Unknown	23.85523
194	N34 WGA	B2m	SYBR	Unknown	24.123764
195	N34 WGA	B2m	SYBR	Unknown	23.43308
197	NTC	B2m	SYBR	Unknown	Undetermined
198	NTC	B2m	SYBR	Unknown	Undetermined
199	NTC	B2m	SYBR	Unknown	34.367332
















153	119B	PITPNC1	SYBR	Unknown	28.811344
154	119B	PITPNC1	SYBR	Unknown	27.193777
155	119B	PITPNC1	SYBR	Unknown	27.660875
157	121B	PITPNC1	SYBR	Unknown	27.746822
158	121B	PITPNC1	SYBR	Unknown	28.360315
159	121B	PITPNC1	SYBR	Unknown	27.905373
161	124B	PITPNC1	SYBR	Unknown	29.846075
162	124B	PITPNC1	SYBR	Unknown	29.437084
163	124B	PITPNC1	SYBR	Unknown	30.265478
9	14B	PITPNC1	SYBR	Unknown	32.78769
10	14B	PITPNC1	SYBR	Unknown	31.613047
11	14B	PITPNC1	SYBR	Unknown	31.373882
13	15B	PITPNC1	SYBR	Unknown	26.982965
14	15B	PITPNC1	SYBR	Unknown	27.728611
15	15B	PITPNC1	SYBR	Unknown	27.839165
17	18B	PITPNC1	SYBR	Unknown	30.3907
18	18B	PITPNC1	SYBR	Unknown	30.648447
19	18B	PITPNC1	SYBR	Unknown	30.3289
21	18B1	PITPNC1	SYBR	Unknown	28.392958
22	18B1	PITPNC1	SYBR	Unknown	28.420647
23	18B1	PITPNC1	SYBR	Unknown	28.143194
1	1B	PITPNC1	SYBR	Unknown	25.634123
2	1B	PITPNC1	SYBR	Unknown	25.725096
3	1B	PITPNC1	SYBR	Unknown	26.134602
29	20B	PITPNC1	SYBR	Unknown	27.681162
30	20B	PITPNC1	SYBR	Unknown	27.574211
31	20B	PITPNC1	SYBR	Unknown	27.804325
25	20B1	PITPNC1	SYBR	Unknown	28.74187
26	20B1	PITPNC1	SYBR	Unknown	28.519754
27	20B1	PITPNC1	SYBR	Unknown	28.126057
33	22B	PITPNC1	SYBR	Unknown	29.296726
34	22B	PITPNC1	SYBR	Unknown	28.546787
35	22B	PITPNC1	SYBR	Unknown	29.118158
37	27B	PITPNC1	SYBR	Unknown	27.515202
38	27B	PITPNC1	SYBR	Unknown	9.098702
39	27B	PITPNC1	SYBR	Unknown	26.62967
41	30B	PITPNC1	SYBR	Unknown	29.500435
42	30B	PITPNC1	SYBR	Unknown	29.396803
