Well	Sample Name	Detector Name	Reporter	Task	Ct
309	26N1 SCOMP SLN	B2m	SYBR	Unknown	30.41486
310	26N1 SCOMP SLN	B2m	SYBR	Unknown	30.164125
311	26N1 SCOMP SLN	B2m	SYBR	Unknown	30.042015
265	27N1 SCOMP SLN	B2m	SYBR	Unknown	30.703976
266	27N1 SCOMP SLN	B2m	SYBR	Unknown	30.567533
267	27N1 SCOMP SLN	B2m	SYBR	Unknown	31.009733
269	33N1 SCOMP SLN	B2m	SYBR	Unknown	29.816948
270	33N1 SCOMP SLN	B2m	SYBR	Unknown	30.56318
271	33N1 SCOMP SLN	B2m	SYBR	Unknown	31.845636
301	33N2 SCOMP SLN	B2m	SYBR	Unknown	31.750805
302	33N2 SCOMP SLN	B2m	SYBR	Unknown	31.670858
303	33N2 SCOMP SLN	B2m	SYBR	Unknown	31.126411
297	35NI SCOMP SLN	B2m	SYBR	Unknown	30.343082
298	35NI SCOMP SLN	B2m	SYBR	Unknown	30.083794
299	35NI SCOMP SLN	B2m	SYBR	Unknown	29.940962
305	36N1 SCOMP SLN	B2m	SYBR	Unknown	30.071453
306	36N1 SCOMP SLN	B2m	SYBR	Unknown	30.268303
307	36N1 SCOMP SLN	B2m	SYBR	Unknown	30.239832
273	N1 SCOMP	B2m	SYBR	Unknown	32.013157
274	N1 SCOMP	B2m	SYBR	Unknown	31.929165
275	N1 SCOMP	B2m	SYBR	Unknown	31.401022
277	N1 SCOMP	B2m	SYBR	Unknown	31.361866
278	N1 SCOMP	B2m	SYBR	Unknown	31.287678
279	N1 SCOMP	B2m	SYBR	Unknown	30.63608
369	N27	B2m	SYBR	Unknown	27.055334
370	N27	B2m	SYBR	Unknown	27.073732
371	N27	B2m	SYBR	Unknown	27.061626
289	N27WGA	B2m	SYBR	Unknown	27.455126
290	N27WGA	B2m	SYBR	Unknown	27.205011
291	N27WGA	B2m	SYBR	Unknown	27.106615
337	N28	B2m	SYBR	Unknown	25.943014
338	N28	B2m	SYBR	Unknown	26.105448
339	N28	B2m	SYBR	Unknown	25.450144
321	N28WGA	B2m	SYBR	Unknown	27.055712
322	N28WGA	B2m	SYBR	Unknown	27.0214
323	N28WGA	B2m	SYBR	Unknown	26.98228
377	N29	B2m	SYBR	Unknown	26.870598
378	N29	B2m	SYBR	Unknown	26.644886
379	N29	B2m	SYBR	Unknown	26.725374
313	N29WGA	B2m	SYBR	Unknown	26.895008
314	N29WGA	B2m	SYBR	Unknown	26.464838
315	N29WGA	B2m	SYBR	Unknown	26.520773
341	N30	B2m	SYBR	Unknown	25.81112
342	N30	B2m	SYBR	Unknown	26.223139
343	N30	B2m	SYBR	Unknown	25.968819
381	N31	B2m	SYBR	Unknown	25.914442
382	N31	B2m	SYBR	Unknown	25.956219
383	N31	B2m	SYBR	Unknown	26.003334
353	N32WGA	B2m	SYBR	Unknown	26.895224
354	N32WGA	B2m	SYBR	Unknown	27.033442
355	N32WGA	B2m	SYBR	Unknown	26.944485
349	N33	B2m	SYBR	Unknown	25.315107
350	N33	B2m	SYBR	Unknown	24.978355
351	N33	B2m	SYBR	Unknown	25.084604
361	N33	B2m	SYBR	Unknown	26.865236
362	N33	B2m	SYBR	Unknown	26.82379
363	N33	B2m	SYBR	Unknown	26.187286
325	N33WGA	B2m	SYBR	Unknown	27.218842
326	N33WGA	B2m	SYBR	Unknown	27.164408
327	N33WGA	B2m	SYBR	Unknown	27.065407
345	N34	B2m	SYBR	Unknown	26.462551
346	N34	B2m	SYBR	Unknown	26.117828
347	N34	B2m	SYBR	Unknown	26.242794
281	N34 WGA CONTROL	B2m	SYBR	Unknown	27.047846
282	N34 WGA CONTROL	B2m	SYBR	Unknown	26.939228
283	N34 WGA CONTROL	B2m	SYBR	Unknown	27.013275
293	N34WGA	B2m	SYBR	Unknown	27.097681
294	N34WGA	B2m	SYBR	Unknown	27.030426
295	N34WGA	B2m	SYBR	Unknown	27.505737
333	N35WGA	B2m	SYBR	Unknown	26.488014
334	N35WGA	B2m	SYBR	Unknown	26.47299
335	N35WGA	B2m	SYBR	Unknown	26.594856
365	N36	B2m	SYBR	Unknown	27.690582
366	N36	B2m	SYBR	Unknown	27.340721
367	N36	B2m	SYBR	Unknown	27.18017
357	N38WGA	B2m	SYBR	Unknown	26.933996
358	N38WGA	B2m	SYBR	Unknown	26.200205
359	N38WGA	B2m	SYBR	Unknown	26.80226
373	N39	B2m	SYBR	Unknown	26.55034
374	N39	B2m	SYBR	Unknown	26.550943
375	N39	B2m	SYBR	Unknown	25.80287
317	N39WGA	B2m	SYBR	Unknown	27.907175
318	N39WGA	B2m	SYBR	Unknown	27.86012
319	N39WGA	B2m	SYBR	Unknown	27.637468
329	N39WGA	B2m	SYBR	Unknown	26.852575
330	N39WGA	B2m	SYBR	Unknown	26.8891
331	N39WGA	B2m	SYBR	Unknown	26.695948
285	NTC	B2m	SYBR	Unknown	Undetermined
286	NTC	B2m	SYBR	Unknown	Undetermined
287	NTC	B2m	SYBR	Unknown	Undetermined
93	26N1 SCOMP SLN	PITPNC1	SYBR	Unknown	25.642834
94	26N1 SCOMP SLN	PITPNC1	SYBR	Unknown	27.266876
95	26N1 SCOMP SLN	PITPNC1	SYBR	Unknown	24.31275
97	27N1 SCOMP SLN	PITPNC1	SYBR	Unknown	25.458284
98	27N1 SCOMP SLN	PITPNC1	SYBR	Unknown	26.88503
99	27N1 SCOMP SLN	PITPNC1	SYBR	Unknown	24.99869
101	33N1 SCOMP SLN	PITPNC1	SYBR	Unknown	30.61032
102	33N1 SCOMP SLN	PITPNC1	SYBR	Unknown	26.479832
103	33N1 SCOMP SLN	PITPNC1	SYBR	Unknown	30.959032
85	33N2 SCOMP SLN	PITPNC1	SYBR	Unknown	28.392908
86	33N2 SCOMP SLN	PITPNC1	SYBR	Unknown	28.21522
87	33N2 SCOMP SLN	PITPNC1	SYBR	Unknown	28.30266
81	35NI SCOMP SLN	PITPNC1	SYBR	Unknown	27.963306
82	35NI SCOMP SLN	PITPNC1	SYBR	Unknown	27.158133
83	35NI SCOMP SLN	PITPNC1	SYBR	Unknown	24.362673
89	36N1 SCOMP SLN	PITPNC1	SYBR	Unknown	21.02881
90	36N1 SCOMP SLN	PITPNC1	SYBR	Unknown	23.233702
91	36N1 SCOMP SLN	PITPNC1	SYBR	Unknown	26.397333
105	N1 SCOMP	PITPNC1	SYBR	Unknown	27.100113
106	N1 SCOMP	PITPNC1	SYBR	Unknown	26.105383
107	N1 SCOMP	PITPNC1	SYBR	Unknown	29.14745
109	N1 SCOMP	PITPNC1	SYBR	Unknown	27.135063
110	N1 SCOMP	PITPNC1	SYBR	Unknown	25.41616
111	N1 SCOMP	PITPNC1	SYBR	Unknown	29.635859
9	N27	PITPNC1	SYBR	Unknown	21.814621
10	N27	PITPNC1	SYBR	Unknown	22.254597
11	N27	PITPNC1	SYBR	Unknown	22.12777
73	N27WGA	PITPNC1	SYBR	Unknown	21.766218
74	N27WGA	PITPNC1	SYBR	Unknown	25.235495
75	N27WGA	PITPNC1	SYBR	Unknown	25.459595
25	N28	PITPNC1	SYBR	Unknown	22.300558
26	N28	PITPNC1	SYBR	Unknown	18.718689
27	N28	PITPNC1	SYBR	Unknown	20.595518
57	N28WGA	PITPNC1	SYBR	Unknown	22.597923
58	N28WGA	PITPNC1	SYBR	Unknown	23.588604
59	N28WGA	PITPNC1	SYBR	Unknown	24.928873
17	N29	PITPNC1	SYBR	Unknown	23.703856
18	N29	PITPNC1	SYBR	Unknown	24.50784
19	N29	PITPNC1	SYBR	Unknown	24.5496
49	N29WGA	PITPNC1	SYBR	Unknown	24.76668
50	N29WGA	PITPNC1	SYBR	Unknown	24.217756
51	N29WGA	PITPNC1	SYBR	Unknown	24.682941
29	N30	PITPNC1	SYBR	Unknown	20.828342
30	N30	PITPNC1	SYBR	Unknown	18.299837
31	N30	PITPNC1	SYBR	Unknown	19.465946
21	N31	PITPNC1	SYBR	Unknown	21.238863
22	N31	PITPNC1	SYBR	Unknown	20.865833
23	N31	PITPNC1	SYBR	Unknown	21.174349
41	N32WGA	PITPNC1	SYBR	Unknown	24.46841
42	N32WGA	PITPNC1	SYBR	Unknown	25.343746
43	N32WGA	PITPNC1	SYBR	Unknown	25.209074
1	N33	PITPNC1	SYBR	Unknown	21.404732
2	N33	PITPNC1	SYBR	Unknown	19.608076
3	N33	PITPNC1	SYBR	Unknown	21.60376
37	N33	PITPNC1	SYBR	Unknown	21.76874
38	N33	PITPNC1	SYBR	Unknown	18.435926
39	N33	PITPNC1	SYBR	Unknown	18.94938
61	N33WGA	PITPNC1	SYBR	Unknown	21.52528
62	N33WGA	PITPNC1	SYBR	Unknown	Undetermined
63	N33WGA	PITPNC1	SYBR	Unknown	23.379028
33	N34	PITPNC1	SYBR	Unknown	19.59965
34	N34	PITPNC1	SYBR	Unknown	Undetermined
35	N34	PITPNC1	SYBR	Unknown	Undetermined
113	N34 WGA CONTROL	PITPNC1	SYBR	Unknown	24.528282
114	N34 WGA CONTROL	PITPNC1	SYBR	Unknown	24.716661
115	N34 WGA CONTROL	PITPNC1	SYBR	Unknown	25.201593
77	N34WGA	PITPNC1	SYBR	Unknown	25.451847
78	N34WGA	PITPNC1	SYBR	Unknown	24.925014
79	N34WGA	PITPNC1	SYBR	Unknown	24.436623
69	N35WGA	PITPNC1	SYBR	Unknown	24.290228
70	N35WGA	PITPNC1	SYBR	Unknown	23.91694
71	N35WGA	PITPNC1	SYBR	Unknown	20.96858
5	N36	PITPNC1	SYBR	Unknown	20.230055
6	N36	PITPNC1	SYBR	Unknown	21.33533
7	N36	PITPNC1	SYBR	Unknown	21.552433
45	N38WGA	PITPNC1	SYBR	Unknown	23.782177
46	N38WGA	PITPNC1	SYBR	Unknown	22.232225
47	N38WGA	PITPNC1	SYBR	Unknown	22.199968
13	N39	PITPNC1	SYBR	Unknown	18.279194
14	N39	PITPNC1	SYBR	Unknown	20.984291
15	N39	PITPNC1	SYBR	Unknown	22.686363
53	N39WGA	PITPNC1	SYBR	Unknown	24.925295
54	N39WGA	PITPNC1	SYBR	Unknown	23.783247
55	N39WGA	PITPNC1	SYBR	Unknown	22.525452
65	N39WGA	PITPNC1	SYBR	Unknown	23.534851
66	N39WGA	PITPNC1	SYBR	Unknown	22.81348
67	N39WGA	PITPNC1	SYBR	Unknown	23.587841
117	NTC	PITPNC1	SYBR	Unknown	Undetermined
118	NTC	PITPNC1	SYBR	Unknown	32.93171
119	NTC	PITPNC1	SYBR	Unknown	20.3095
