Well	Sample Name	Detector Name	Reporter	Task	Ct
382	10A	B2m	SYBR	Unknown	Undetermined
383	10A	B2m	SYBR	Unknown	Undetermined
384	10A	B2m	SYBR	Unknown	Undetermined
277	119A	B2m	SYBR	Unknown	28.207037
278	119A	B2m	SYBR	Unknown	27.351387
279	119A	B2m	SYBR	Unknown	27.774197
286	122A3	B2m	SYBR	Unknown	25.171186
287	122A3	B2m	SYBR	Unknown	26.174858
288	122A3	B2m	SYBR	Unknown	25.597212
281	124A2	B2m	SYBR	Unknown	27.83078
282	124A2	B2m	SYBR	Unknown	28.510416
283	124A2	B2m	SYBR	Unknown	28.069122
241	126A	B2m	SYBR	Unknown	24.492186
242	126A	B2m	SYBR	Unknown	25.103868
243	126A	B2m	SYBR	Unknown	24.343433
245	128A	B2m	SYBR	Unknown	26.628271
246	128A	B2m	SYBR	Unknown	27.10233
247	128A	B2m	SYBR	Unknown	26.7025
365	12A	B2m	SYBR	Unknown	Undetermined
366	12A	B2m	SYBR	Unknown	Undetermined
367	12A	B2m	SYBR	Unknown	Undetermined
249	130A	B2m	SYBR	Unknown	Undetermined
250	130A	B2m	SYBR	Unknown	Undetermined
251	130A	B2m	SYBR	Unknown	Undetermined
253	132A	B2m	SYBR	Unknown	25.889532
254	132A	B2m	SYBR	Unknown	25.569275
255	132A	B2m	SYBR	Unknown	25.496593
369	13A	B2m	SYBR	Unknown	25.76362
370	13A	B2m	SYBR	Unknown	Undetermined
371	13A	B2m	SYBR	Unknown	25.421177
373	14A	B2m	SYBR	Unknown	Undetermined
374	14A	B2m	SYBR	Unknown	22.677671
375	14A	B2m	SYBR	Unknown	21.580364
377	17A	B2m	SYBR	Unknown	Undetermined
378	17A	B2m	SYBR	Unknown	Undetermined
379	17A	B2m	SYBR	Unknown	Undetermined
361	18A2	B2m	SYBR	Unknown	26.673706
362	18A2	B2m	SYBR	Unknown	27.674324
363	18A2	B2m	SYBR	Unknown	26.51129
337	19A	B2m	SYBR	Unknown	25.491858
338	19A	B2m	SYBR	Unknown	25.357174
339	19A	B2m	SYBR	Unknown	25.659502
341	23A	B2m	SYBR	Unknown	25.8054
342	23A	B2m	SYBR	Unknown	25.378021
343	23A	B2m	SYBR	Unknown	26.160795
345	23A	B2m	SYBR	Unknown	28.841837
346	23A	B2m	SYBR	Unknown	28.914003
347	23A	B2m	SYBR	Unknown	Undetermined
349	24A	B2m	SYBR	Unknown	26.429579
350	24A	B2m	SYBR	Unknown	26.475052
351	24A	B2m	SYBR	Unknown	25.423367
353	25A	B2m	SYBR	Unknown	26.381521
354	25A	B2m	SYBR	Unknown	25.793491
355	25A	B2m	SYBR	Unknown	25.821209
358	27A	B2m	SYBR	Unknown	Undetermined
359	27A	B2m	SYBR	Unknown	Undetermined
360	27A	B2m	SYBR	Unknown	Undetermined
317	30A	B2m	SYBR	Unknown	25.395105
318	30A	B2m	SYBR	Unknown	25.751165
319	30A	B2m	SYBR	Unknown	26.842493
313	31A	B2m	SYBR	Unknown	Undetermined
314	31A	B2m	SYBR	Unknown	24.776857
315	31A	B2m	SYBR	Unknown	26.664778
